text,sentiment
ပဋိပက္ခဖြစ်နေတဲ့ ခံစားချက်တွေရဲ့ ကော်ဇောတစ်ခု၊ မသေချာမရေရာမှုတွေကြားထဲမှာ ရက်ယှက်နေခြင်း၊ စိတ်နှစ်ခွဖြစ်ခြင်းရဲ့ ချည်မျှင်တွေထဲမှာ ကျရောက်နေခြင်း, Ambivalence     
ချို့ယွင်းချက်တွေကို ပွေ့ဖက်ရင်း၊ မပြည့်စုံမှုထဲမှာ လက်ခံမှုကို ရှာဖွေတွေ့ရှိခြင်း၊ မိမိကိုယ်ကို ချစ်ခြင်းဆီသို့ ခရီးစဉ်တစ်ခု, Acceptance      
စိတ်ပိုင်းဖြတ်မှုက တောမီးလို လောင်ကျွမ်းနေခြင်း၊ အတားအဆီးတွေကို ကျော်လွှားခြင်း၊ အိပ်မက်တွေကို လက်တွေ့အဖြစ်သို့ ပြောင်းလဲခြင်း, Determination   
သမုဒ္ဒရာကမ်းစပ်က ငြိမ်းချမ်းတဲ့ အခိုက်အတန့်တွေ၊ တည်ငြိမ်အေးချမ်းမှုက လွှမ်းခြုံလာခြင်း၊ လှိုင်းလုံးတွေရဲ့ ပွေ့ဖက်မှုထဲက ငြိမ်းချမ်းတဲ့ ဆုတ်ခွာရာနေရာတစ်ခု, Serenity        
စူးစမ်းလိုစိတ်ရဲ့ မီးပွားနဲ့အတူ မိုးကုတ်စက်ဝိုင်းအသစ်တွေကို စူးစမ်းရှာဖွေနေခြင်း၊ ဗဟုသုတရဲ့ ကျယ်ပြန့်တဲ့ ရှုခင်းထဲက စွန့်စားသူတစ်ယောက်, Curiosity       
ပေါ့ပေါ့ပါးပါး အမူအရာနဲ့ နေ့တစ်နေ့ကို ဖြတ်သန်းနေခြင်း၊ လျစ်လျူရှုမှု အနုပညာကို ပွေ့ဖက်ခြင်း, Indifference    
အတွေးတွေနဲ့ နပန်းလုံးနေခြင်း၊ ဘဝရဲ့ ရှုပ်ထွေးမှုတွေရဲ့ ဝင်္ကပါထဲမှာ ပျောက်ဆုံးနေတဲ့ ရှုပ်ထွေးနေတဲ့ စိတ်, Confusion       
စိတ်ခံစားမှု ထုံကျင်မှု အခြေအနေထဲမှာ နစ်မြုပ်နေခြင်း၊ နေ့စဉ် ရုန်းကန်မှုတွေရဲ့ မုန်တိုင်းကို ကာကွယ်ပေးတဲ့ ဒိုင်းတစ်ခု, Numbness        
နောက်ခံမှာ တီးခတ်နေတဲ့ ဝမ်းနည်းဖွယ် သံစုံတီးဝိုင်း၊ တမ်းတနေတဲ့ နှလုံးသားတစ်ခုရဲ့ တေးသံ, Melancholy      
နှစ်ချုပ်စာအုပ်ဟောင်းရဲ့ စာမျက်နှာတွေကို လှန်လှောကြည့်ရင်း၊ အတိတ်ကိုတမ်းတမှုက ကျွန်တော့်မျက်နှာပေါ်မှာ အပြုံးတွေနဲ့ မျက်ရည်တွေကို ခြယ်မှုန်းနေခြင်း, Nostalgia       
ဆန့်ကျင်ဘက် စိတ်ခံစားမှုတွေကြားမှာ စိတ်နှစ်ခွဖြစ်နေခြင်း၊ ကျွန်တော့်ရဲ့ ဆုံးဖြတ်ချက်တွေကို မသေချာမရေရာမှု အရိပ်တွေနဲ့ ခြယ်မှုန်းတဲ့ စိတ်နှစ်ခွဖြစ်ခြင်း, Ambivalence     
ဘဝရဲ့ မပြည့်စုံမှုတွေကို ပွေ့ဖက်ရင်း၊ ခရီးစဉ်ထဲမှာ လက်ခံမှုကို ရှာဖွေတွေ့ရှိခြင်း၊ အမာရွတ်တွေ အပါအဝင်, Acceptance      
အတွင်းထဲမှာ လောင်ကျွမ်းနေတဲ့ ပြင်းပြတဲ့ စိတ်ပိုင်းဖြတ်မှု၊ ပြိုင်ဘက်ကင်းတဲ့ အမြင့်တွေကို ရောက်ရှိဖို့ ရူပါရုံက တွန်းအားပေးခြင်း, Determination   
တိတ်ဆိတ်ငြိမ်သက်တဲ့ တောအုပ်ရဲ့ တည်ငြိမ်အေးချမ်းမှုထဲမှာ နေပူစာလှုံနေခြင်း၊ သဘာဝတရားရဲ့ တီးတိုးသံတွေက စိတ်ဝိညာဉ်ကို ငြိမ်းချမ်းမှု ယူဆောင်လာတဲ့နေရာ, Serenity        
ကမ္ဘာလောကရဲ့ ဆူညံသံတွေကို လျစ်လျူရှုထားခြင်း၊ ဘဝရဲ့ ဆူညံပွက်လောရိုက်မှုတွေကြားထဲက တိတ်ဆိတ်တဲ့ လေ့လာသူတစ်ယောက်, Indifference    
အတွေးတွေရဲ့ ဝင်္ကပါထဲမှာ လမ်းညွှန်နေခြင်း၊ အတွေးအခေါ်တွေရဲ့ ဝင်္ကပါထဲက အမြဲတမ်း အဖော်ဖြစ်တဲ့ ရှုပ်ထွေးမှု, Confusion       
ထိုးဖောက်လို့မရတဲ့ ထုံကျင်မှုက ကျွန်တော့်ကို စိတ်ခံစားမှု မုန်တိုင်းတွေကနေ ကာကွယ်ပေးတယ်၊ ခံစားချက်မဲ့ ကြံ့ကြံ့ခံနိုင်ရည်ရဲ့ ခံတပ်တစ်ခု, Numbness        
ဝမ်းနည်းမှုက ကမ္ဘာလောကကို အတိတ်ကိုတမ်းတခြင်းရဲ့ အရောင်အသွေးတွေနဲ့ ခြယ်မှုန်းနေခြင်း၊ ချိုမြိန်ခါးသက်တဲ့ အမှတ်တရတွေရဲ့ ပန်းချီကားချပ်တစ်ခု, Melancholy      
အတိတ်ဆီသို့ ခရီးစဉ်တစ်ခု၊ ဒိုင်ယာရီဟောင်းရဲ့ စာမျက်နှာတွေကို လှန်လှောကြည့်ရင်း၊ အတိတ်ကိုတမ်းတမှုက ဦးဆောင်နေခြင်း, Nostalgia       
ဆုံးဖြတ်ချက်တွေကို တိမ်ဖုံးနေတဲ့ စိတ်နှစ်ခွဖြစ်ခြင်း၊ ပဋိပက္ခဖြစ်နေတဲ့ စိတ်ခံစားမှုတွေရဲ့ လမ်းဆုံလမ်းခွမှာ ကျရောက်နေခြင်း, Ambivalence     
မပြည့်စုံမှုတွေကို ပွေ့ဖက်ရင်း၊ ဘဝရဲ့ လှပတဲ့ ရှုပ်ထွေးမှုတွေရဲ့ စပ်ဟပ်ပုံထဲမှာ လက်ခံမှုကို ရှာဖွေတွေ့ရှိခြင်း, Acceptance      
တွန်းအားဖြစ်တဲ့ စိတ်ပိုင်းဖြတ်မှု၊ ထူးခြားတဲ့ အောင်မြင်မှုတွေဆီသို့ လမ်းကြောင်းပေါ်မှာ ကျွန်တော့်ကို ရှေ့သို့ တွန်းပို့နေခြင်း, Determination   
မိုးစက်တွေရဲ့ သံစဉ်ထဲမှာ တည်ငြိမ်အေးချမ်းမှုကို ရှာဖွေနေခြင်း၊ နေ့စဉ်ဘဝရဲ့ ဆူညံသံတွေကနေ ငြိမ်းချမ်းတဲ့ လွတ်မြောက်ရာတစ်ခု, Serenity        
စူးစမ်းလိုစိတ်က မသိသေးတဲ့အရာတွေကို စူးစမ်းရှာဖွေဖို့ တွန်းအားပေးနေခြင်း၊ မရောက်ဖူးသေးတဲ့ နယ်မြေတွေထဲက ဗဟုသုတ ရှာဖွေသူတစ်ယောက်, Curiosity       
ပေါ့ပေါ့ပါးပါး အငွေ့အသက်နဲ့ နေ့တစ်နေ့ကို ဖြတ်သန်းနေခြင်း၊ ဘဝရဲ့ အရေးမပါတဲ့ အရာတွေကို လျစ်လျူရှုထားခြင်း, Indifference    
အတွေးတွေရဲ့ ဝင်္ကပါထဲမှာ ပျောက်ဆုံးနေခြင်း၊ ရှင်းလင်းပြတ်သားမှုအတွက် ရှာဖွေမှုအပေါ် အရိပ်ထိုးနေတဲ့ ရှုပ်ထွေးမှု, Confusion       
စိတ်ခံစားမှု ထုံကျင်မှုရဲ့ ဝတ်ရုံထဲမှာ ပတ်ရစ်နေခြင်း၊ ဘဝရဲ့ လှုပ်ရှားမှုတွေရဲ့ မုန်တိုင်းတွေကို ကာကွယ်ပေးတဲ့ ဒိုင်းတစ်ခု, Numbness        
အဖော်ဖြစ်တဲ့ ဝမ်းနည်းမှု၊ တမ်းတမှုရဲ့ စုတ်ချက်တွေနဲ့ ဘဝရဲ့ ပန်းချီကားချပ်ကို ခြယ်မှုန်းနေခြင်း, Melancholy      
ဓာတ်ပုံအယ်လ်ဘမ်ဟောင်းရဲ့ စာမျက်နှာတွေကို လှန်လှောကြည့်ရင်း၊ အတိတ်ကိုတမ်းတမှုက ရယ်မောခြင်းနဲ့ မျက်ရည်တွေရဲ့ ပုံပြင်တွေကို ရက်ယှက်နေခြင်း, Nostalgia       
လေထုထဲက စိတ်နှစ်ခွဖြစ်ခြင်း၊ ပဋိပက္ခဖြစ်နေတဲ့ စိတ်ခံစားမှုတွေနဲ့ ဆုံးဖြတ်ချက်တွေရဲ့ လမ်းဆုံလမ်းခွကြားမှာ ကျရောက်နေခြင်း, Ambivalence     
မပြည့်စုံမှုတွေထဲက အလှတရားကို ပွေ့ဖက်ရင်း၊ ဘဝရဲ့ ကြိုတင်ခန့်မှန်းလို့မရတဲ့ အနုပညာရဲ့ စပ်ဟပ်ပုံထဲမှာ လက်ခံမှုကို ရှာဖွေတွေ့ရှိခြင်း, Acceptance      
စိတ်ပိုင်းဖြတ်မှုက တောက်လောင်နေခြင်း၊ စိန်ခေါ်မှုတွေကြားထဲကနေ လမ်းကြောင်းတစ်ခု ဖောက်လုပ်ခြင်း၊ အိပ်မက်တွေကို လက်ဆုပ်လက်ကိုင်ပြနိုင်တဲ့ လက်တွေ့အဖြစ်သို့ ပုံဖော်ခြင်း, Determination   
လသာညရဲ့ တည်ငြိမ်အေးချမ်းမှုထဲမှာ နစ်မြုပ်နေခြင်း၊ သဘာဝတရားရဲ့ တိတ်ဆိတ်တဲ့ တီးတိုးသံတွေက စိတ်ဝိညာဉ်ကို ငြိမ်းချမ်းမှု ယူဆောင်လာတဲ့နေရာ, Serenity        
စူးစမ်းလိုစိတ်က တွန်းအားပေးပြီး၊ မရောက်ဖူးသေးတဲ့ နယ်ပယ်တွေထဲသို့ စွန့်စားဝင်ရောက်ခြင်း၊ ကမ္ဘာလောကရဲ့ လျှို့ဝှက်ဆန်းကြယ်မှုတွေကို မကြောက်မရွံ့ စူးစမ်းရှာဖွေသူတစ်ယောက်, Curiosity       
စိတ်ခံစားမှု ထုံကျင်မှုရဲ့ ဝတ်ရုံထဲမှာ ပတ်ရစ်နေခြင်း၊ ဘဝရဲ့ လှုပ်ရှားမှုတွေရဲ့ မုန်တိုင်းတွေကို ကာကွယ်ပေးတဲ့ ဒိုင်းတစ်ခု, Numbness 
ပေါ့ပါးလွတ်လပ်တဲ့ စိတ်ဓာတ်ရဲ့ တက်ကြွမှုနဲ့အတူ ဘဝကို ကခုန်ဖြတ်သန်းနေခြင်း၊ အလှည့်အပြောင်းတိုင်းမှာ ပျော်ရွှင်မှုနဲ့ စိတ်အားထက်သန်မှုကို ပွေ့ဖက်ခြင်း, Zest 
ကျေနပ်မှုရဲ့ ရွှေရောင်အလင်းထဲမှာ နေပူစာလှုံနေခြင်း၊ နှလုံးသားရဲ့ ရှုခင်းထဲမှာ စီးဆင်းနေတဲ့ တည်ငြိမ်အေးချမ်းတဲ့ မြစ်တစ်စင်း, Contentment 
မျှော်လင့်ချက်ရှိတဲ့ မျက်လုံးတွေနဲ့ မိုးကုတ်စက်ဝိုင်းဆီသို့ ငေးကြည့်ရင်း၊ အကောင်းမြင်စိတ်ရဲ့ နေရောင်ခြည်နဲ့ လင်းထိန်နေတဲ့ အိပ်မက်တွေရဲ့ ပန်းချီကားချပ်တစ်ခုကို ခြယ်မှုန်းနေခြင်း, Hopeful 
ဝက်သစ်ချပင်လို မားမားမတ်မတ် ရပ်တည်ရင်း၊ အောင်မြင်မှုရဲ့ အကိုင်းအခက်တွေက ပြီးမြောက်မှုရဲ့ ကောင်းကင်ဆီသို့ လှမ်းတက်နေခြင်း, Proud 
ကျေးဇူးတင်မှုတွေနဲ့ ပြည့်လျှံနေတဲ့ နှလုံးသား၊ ကြင်နာမှုနဲ့ ချိတ်ဆက်မှုရဲ့ မြေဆီလွှာထဲမှာ တန်ဖိုးထားလေးစားမှု ပွင့်လန်းနေတဲ့ ဥယျာဉ်တစ်ခု, Grateful 
လက်တစ်ဖက် ဆန့်တန်းရင်း၊ စာနာမှုရှိတဲ့ ချည်မျှင်တွေက နားလည်မှုရဲ့ ကော်ဇောတစ်ခုကို ရက်ယှက်နေခြင်း၊ အခြားသူတွေရဲ့ ပျော်ရွှင်မှုတွေနဲ့ ဝမ်းနည်းမှုတွေကို ပွေ့ဖက်ခြင်း, Empathetic 
ဂရုစိုက်မှုတွေနဲ့ လေးလံနေတဲ့ ကရုဏာတရားရှိတဲ့ တိမ်တိုက်တွေ၊ လူသားတွေရဲ့ ဒုက္ခဆင်းရဲမှုရဲ့ ခြောက်သွေ့နေတဲ့ မြေပြင်ပေါ်သို့ စာနာမှုကို ရွာသွန်းပေးခြင်း, Compassionate 
ရယ်မောခြင်းရဲ့ မိုးရေထဲမှာ ပျော်ရွှင်စွာ ကခုန်နေခြင်း၊ ပျော်ရွှင်မှုနဲ့ ပေါ့ပါးမှုရဲ့ ရေအိုင်တွေထဲမှာ လှည့်ပတ်နေတဲ့ စိတ်ကူးယဉ်ဆန်တဲ့ စိတ်ဓာတ်, Playful 
လွတ်လပ်တဲ့ စိတ်ဓာတ်ရဲ့ တောင်ပံတွေပေါ်မှာ ပျံသန်းနေခြင်း၊ လိုက်လျောညီထွေမှုရဲ့ သံကြိုးတွေကနေ လွတ်မြောက်ပြီး၊ ကောင်းကင်ကို လွတ်လပ်မှုနဲ့ ခြယ်မှုန်းနေခြင်း, Free-spirited 
စိတ်ကူးစိတ်သန်းရဲ့ အလင်းရောင်ထဲမှာ နစ်မြုပ်နေခြင်း၊ သာမန်အတွေးတွေရဲ့ ပြာပုံထဲကနေ ထမြောက်လာပြီး နယ်ပယ်အသစ်တွေကို စူးစမ်းရှာဖွေနေတဲ့ ဖန်တီးမှုရှိတဲ့ ဖီးနစ်ငှက်, Inspired 
မျှော်လင့်ချက် ပင်လယ်ထဲမှာ လမ်းညွှန်နေခြင်း၊ ဖြစ်နိုင်ခြေတွေရဲ့ နေထွက်ချိန်ဆီသို့ ရွက်လွှင့်နေခြင်း၊ အကောင်းမြင် မျှော်လင့်ချက် သင်္ဘောအပေါ် ယုံကြည်မှုရှိခြင်း, Hopeful 
ယုံကြည်မှုနဲ့ လှမ်းလျှောက်နေခြင်း၊ မိမိကိုယ်ကို ယုံကြည်မှုရဲ့ ခြေရာတွေကို အောင်နိုင်ခဲ့တဲ့ စိန်ခေါ်မှုတွေနဲ့ ရယူခဲ့တဲ့ အောင်ပွဲတွေရဲ့ သဲသောင်ပြင်ပေါ်မှာ ရိုက်နှိပ်ထားခြင်း, Confident 
ညရဲ့ သံစုံတီးဝိုင်းထဲမှာ ပျောက်ဆုံးနေခြင်း၊ လေလွင့်လိုစိတ်နဲ့ လရောင်အောက်က အိပ်မက်တွေရဲ့ ပုံပြင်တွေကို တီးတိုးပြောပြတဲ့ လရောင်အောက်က တေးသံ, Serenity 
စူးစမ်းလိုစိတ်ရဲ့ အလွှာတွေကို ဖော်ထုတ်နေခြင်း၊ မရှာဖွေတွေ့ရှိသေးတဲ့ ဗဟုသုတရဲ့ ရတနာသိုက်တွေဆီသို့ ပို့ဆောင်တဲ့ မေးခွန်းတွေရဲ့ ဝင်္ကပါတစ်ခု, Curiosity 
ဆောင်းဦးလေပြေရဲ့ ပွေ့ဖက်မှုထဲမှာ၊ ရွေးချယ်မှုတွေနဲ့ မသေချာမရေရာမှုတွေကြားက ဝေါ့ဇ်အကထဲမှာ ကခုန်နေတဲ့ စိတ်နှစ်ခွဖြစ်ခြင်းရဲ့ သစ်ရွက်တွေ, Ambivalence 
လမ်းပြကြယ်ဖြစ်တဲ့ ကျေးဇူးတင်မှု၊ ဘဝရဲ့ တန်ဖိုးရှိတဲ့ အခိုက်အတန့်တွေရဲ့ ကျယ်ပြန့်တဲ့ စကြဝဠာထဲက ကောင်းချီးမင်္ဂလာတွေရဲ့ ကြယ်စုတန်းကို လမ်းညွှန်နေခြင်း, Grateful 
စိတ်အားထက်သန်တဲ့ နှလုံးသားနဲ့အတူ၊ စိတ်အားထက်သန်မှုရဲ့ လယ်ကွင်းတွေထဲမှာ ပြေးလွှားနေခြင်း၊ ပျော်ရွှင်မှုရဲ့ မြက်ခင်းပြင်တွေထဲမှာ နေရောင်ခြည်တွေနဲ့ ရယ်မောခြင်းကို လိုက်ဖမ်းနေခြင်း, Zest 
ကရုဏာတရားရှိတဲ့ မိုး၊ စာနာမှုရဲ့ မျက်ရည်တွေက ညင်သာစွာ ကျဆင်းနေပြီး၊ လူသားဆက်ဆံရေးတွေရဲ့ ဥယျာဉ်ထဲက ကြင်နာမှုရဲ့ မျိုးစေ့တွေကို ပြုစုပျိုးထောင်ပေးခြင်း, Compassionate 
အောင်မြင်မှုရဲ့ တောင်ထိပ်တွေကို ဂုဏ်ယူစွာ တက်ရောက်နေခြင်း၊ စိန်ခေါ်မှုတွေကို အောင်နိုင်ပြီး အောင်မြင်မှုရဲ့ အလံကို စိုက်ထူနေတဲ့ တောင်တက်သမားတစ်ယောက်, Proud 
မျှော်လင့်ချက်ရှိတဲ့ အရုဏ်ဦးက ပွေ့ဖက်ထားခြင်း၊ အကောင်းမြင်စိတ်ရဲ့ မျိုးစေ့တွေကို ကြဲချနေပြီး၊ ပိုမိုတောက်ပတဲ့ မနက်ဖြန်ရဲ့ ပန်းပွင့်တွေကို ပြုစုစောင့်ရှောက်နေတဲ့ ဥယျာဉ်မှူးတစ်ယောက်, Hopeful 
ဘဝရဲ့ ပျော်ပွဲရွှင်ပွဲထဲက ပျော်ရွှင်စရာ စွန့်စားခန်းတစ်ခု၊ လားရထား ရယ်မောသံတွေနဲ့ သကြားလုံး အိပ်မက်တွေက ပျော်ရွှင်ဖွယ် လေထုထဲမှာ ဝေ့ဝဲနေခြင်း, Playful 
စိတ်ကူးစိတ်သန်းရဲ့ တိမ်တိုက်တွေပေါ်မှာ ပျံဝဲနေခြင်း၊ ကောင်းကင်ကို ဖန်တီးမှုရဲ့ စုတ်ချက်တွေနဲ့ ခြယ်မှုန်းနေပြီး၊ အိပ်မက်တွေရဲ့ လက်ရာမြောက် ပန်းချီကားတစ်ချပ်ကို ဖန်တီးနေတဲ့ အနုပညာရှင်တစ်ယောက်, Inspired 
ကျေနပ်မှုရဲ့ မြစ်ထဲမှာ လမ်းညွှန်နေခြင်း၊ အတွင်းစိတ် ငြိမ်းချမ်းမှုနဲ့ လက်ခံမှုရဲ့ တည်ငြိမ်အေးချမ်းတဲ့ ရေပြင်ထဲမှာ တည်ငြိမ်အေးချမ်းတဲ့ လှေစီးခရီးစဉ်တစ်ခု, Contentment 
မီးအိမ်ဖြစ်တဲ့ စာနာမှုနဲ့အတူ၊ ဝမ်းနည်းမှုရဲ့ မှောင်မိုက်တဲ့ လမ်းကြားတွေထဲမှာ လှည့်လည်သွားလာနေခြင်း၊ ကရုဏာတရားနဲ့ ဂရုစိုက်မှုတို့နဲ့ လမ်းကို လင်းထိန်ပေးခြင်း, Empathetic 
အိပ်မက်တွေရဲ့ တောင်ပံတွေပေါ်မှာ ပျံသန်းနေတဲ့ လွတ်လပ်တဲ့ စိတ်ဓာတ်၊ အဆုံးမဲ့ ဖြစ်နိုင်ခြေတွေရဲ့ ကောင်းကင်ပြာထဲမှာ လွတ်လပ်မှုရဲ့ ခြေရာတွေကို ချန်ထားခဲ့ခြင်း, Free-spirited 
ကျေးဇူးသိတတ်မှုရဲ့ ရွှေရောင်အသွေးတွေထဲမှာ နစ်မြုပ်နေခြင်း၊ တန်ဖိုးထားလေးစားမှုရဲ့ နေဝင်ချိန်က နှလုံးသားရဲ့ ရှုခင်းတွေပေါ်သို့ နွေးထွေးတဲ့ အလင်းရောင်ကို ဖြာကျနေခြင်း, Grateful 
ဘဝရဲ့ အကအခုန်ထဲက ယုံကြည်မှုရှိတဲ့ ခြေလှမ်းတွေ၊ မိမိကိုယ်ကို ယုံကြည်မှုက ဦးဆောင်တဲ့ ကပွဲခန်းမ၊ စိန်ခေါ်မှုတွေကြားထဲမှာ ကျက်သရေရှိစွာ လှည့်ပတ်ကခုန်နေခြင်း, Confident 
လေရဲ့ မျှော်လင့်ချက်ရှိတဲ့ တီးတိုးသံတွေ၊ ပိုမိုတောက်ပတဲ့ မနက်ဖြန်ရဲ့ ကတိကဝတ်တွေကို သယ်ဆောင်လာခြင်း၊ ဖြစ်နိုင်ခြေတွေရဲ့ လေထုထဲက အကောင်းမြင်စိတ်ရဲ့ သံစုံတီးဝိုင်း, Hopeful 
တာဝန်တွေကို ပျော်ရွှင်စွာ ဟန်ချက်ညီအောင် လုပ်ဆောင်နေခြင်း၊ အလုပ်နဲ့ ပျော်ရွှင်မှုရဲ့ လုပ်ဆောင်ချက်တွေကို ဟန်ချက်ညီအောင် ထိန်းညှိနေပြီး၊ ရယ်မောခြင်းကို လေထဲသို့ ပစ်မြှောက်နေတဲ့ ဆပ်ကပ်သမားတစ်ယောက်, Playful 
ကြယ်တွေဆီသို့ စိတ်ကူးစိတ်သန်းရဲ့ ပုံပြင်တွေကို တီးတိုးပြောပြနေခြင်း၊ စိတ်ကူးစိတ်သန်းရဲ့ ချည်မျှင်တွေကနေ ကြယ်စုတန်းတွေကို ဖန်တီးနေတဲ့ ပုံပြင်ပြောသူတစ်ယောက်, Inspired 
မျှော်လင့်ချက်ရှိတဲ့ မျှော်လင့်ချက်ရဲ့ လှိုင်းလုံးတွေကြားထဲကနေ လမ်းကြောင်းတစ်ခု ရေးဆွဲနေခြင်း၊ မစူးစမ်းရသေးတဲ့ အိပ်မက်တွေရဲ့ ကမ်းခြေတွေဆီသို့ ဦးတည်မောင်းနှင်နေတဲ့ သင်္ဘောသားတစ်ယောက်, Hopeful 
ကရုဏာတရားရှိတဲ့ မိုး၊ စာနာမှုရဲ့ မျက်ရည်တွေက ညင်သာစွာ ကျဆင်းနေပြီး၊ လူသားဆက်ဆံရေးတွေရဲ့ ဥယျာဉ်ထဲက ကြင်နာမှုရဲ့ မျိုးစေ့တွေကို ပြုစုပျိုးထောင်ပေးခြင်း, Compassionate 
အောင်မြင်မှုရဲ့ တောင်ထိပ်တွေကို ဂုဏ်ယူစွာ တက်ရောက်နေခြင်း၊ စိန်ခေါ်မှုတွေကို အောင်နိုင်ပြီး အောင်မြင်မှုရဲ့ အလံကို စိုက်ထူနေတဲ့ တောင်တက်သမားတစ်ယောက်, Proud 
မျှော်လင့်ချက်ရှိတဲ့ အရုဏ်ဦးက ပွေ့ဖက်ထားခြင်း၊ အကောင်းမြင်စိတ်ရဲ့ မျိုးစေ့တွေကို ကြဲချနေပြီး၊ ပိုမိုတောက်ပတဲ့ မနက်ဖြန်ရဲ့ ပန်းပွင့်တွေကို ပြုစုစောင့်ရှောက်နေတဲ့ ဥယျာဉ်မှူးတစ်ယောက်, Hopeful 
ဘဝရဲ့ ပျော်ပွဲရွှင်ပွဲထဲက ပျော်ရွှင်စရာ စွန့်စားခန်းတစ်ခု၊ လားရထား ရယ်မောသံတွေနဲ့ သကြားလုံး အိပ်မက်တွေက ပျော်ရွှင်ဖွယ် လေထုထဲမှာ ဝေ့ဝဲနေခြင်း, Playful 
စိတ်ကူးစိတ်သန်းရဲ့ တိမ်တိုက်တွေပေါ်မှာ ပျံဝဲနေခြင်း၊ ကောင်းကင်ကို ဖန်တီးမှုရဲ့ စုတ်ချက်တွေနဲ့ ခြယ်မှုန်းနေပြီး၊ အိပ်မက်တွေရဲ့ လက်ရာမြောက် ပန်းချီကားတစ်ချပ်ကို ဖန်တီးနေတဲ့ အနုပညာရှင်တစ်ယောက်, Inspired 
ကျေနပ်မှုရဲ့ မြစ်ထဲမှာ လမ်းညွှန်နေခြင်း၊ အတွင်းစိတ် ငြိမ်းချမ်းမှုနဲ့ လက်ခံမှုရဲ့ တည်ငြိမ်အေးချမ်းတဲ့ ရေပြင်ထဲမှာ တည်ငြိမ်အေးချမ်းတဲ့ လှေစီးခရီးစဉ်တစ်ခု, Contentment 
မီးအိမ်ဖြစ်တဲ့ စာနာမှုနဲ့အတူ၊ ဝမ်းနည်းမှုရဲ့ မှောင်မိုက်တဲ့ လမ်းကြားတွေထဲမှာ လှည့်လည်သွားလာနေခြင်း၊ ကရုဏာတရားနဲ့ ဂရုစိုက်မှုတို့နဲ့ လမ်းကို လင်းထိန်ပေးခြင်း, Empathetic 
အိပ်မက်တွေရဲ့ တောင်ပံတွေပေါ်မှာ ပျံသန်းနေတဲ့ လွတ်လပ်တဲ့ စိတ်ဓာတ်၊ အဆုံးမဲ့ ဖြစ်နိုင်ခြေတွေရဲ့ ကောင်းကင်ပြာထဲမှာ လွတ်လပ်မှုရဲ့ ခြေရာတွေကို ချန်ထားခဲ့ခြင်း, Free-spirited 
ကျေးဇူးသိတတ်မှုရဲ့ ရွှေရောင်အသွေးတွေထဲမှာ နစ်မြုပ်နေခြင်း၊ တန်ဖိုးထားလေးစားမှုရဲ့ နေဝင်ချိန်က နှလုံးသားရဲ့ ရှုခင်းတွေပေါ်သို့ နွေးထွေးတဲ့ အလင်းရောင်ကို ဖြာကျနေခြင်း, Grateful 
ဘဝရဲ့ အကအခုန်ထဲက ယုံကြည်မှုရှိတဲ့ ခြေလှမ်းတွေ၊ မိမိကိုယ်ကို ယုံကြည်မှုက ဦးဆောင်တဲ့ ကပွဲခန်းမ၊ စိန်ခေါ်မှုတွေကြားထဲမှာ ကျက်သရေရှိစွာ လှည့်ပတ်ကခုန်နေခြင်း, Confident 
လေရဲ့ မျှော်လင့်ချက်ရှိတဲ့ တီးတိုးသံတွေ၊ ပိုမိုတောက်ပတဲ့ မနက်ဖြန်ရဲ့ ကတိကဝတ်တွေကို သယ်ဆောင်လာခြင်း၊ ဖြစ်နိုင်ခြေတွေရဲ့ လေထုထဲက အကောင်းမြင်စိတ်ရဲ့ သံစုံတီးဝိုင်း, Hopeful 
တာဝန်တွေကို ပျော်ရွှင်စွာ ဟန်ချက်ညီအောင် လုပ်ဆောင်နေခြင်း၊ အလုပ်နဲ့ ပျော်ရွှင်မှုရဲ့ လုပ်ဆောင်ချက်တွေကို ဟန်ချက်ညီအောင် ထိန်းညှိနေပြီး၊ ရယ်မောခြင်းကို လေထဲသို့ ပစ်မြှောက်နေတဲ့ ဆပ်ကပ်သမားတစ်ယောက်, Playful 
ကြယ်တွေဆီသို့ စိတ်ကူးစိတ်သန်းရဲ့ ပုံပြင်တွေကို တီးတိုးပြောပြနေခြင်း၊ စိတ်ကူးစိတ်သန်းရဲ့ ချည်မျှင်တွေကနေ ကြယ်စုတန်းတွေကို ဖန်တီးနေတဲ့ ပုံပြင်ပြောသူတစ်ယောက်, Inspired 
မျှော်လင့်ချက်ရှိတဲ့ မျှော်လင့်ချက်ရဲ့ လှိုင်းလုံးတွေကြားထဲကနေ လမ်းကြောင်းတစ်ခု ရေးဆွဲနေခြင်း၊ မစူးစမ်းရသေးတဲ့ အိပ်မက်တွေရဲ့ ကမ်းခြေတွေဆီသို့ ဦးတည်မောင်းနှင်နေတဲ့ သင်္ဘောသားတစ်ယောက်, Hopeful 
ကရုဏာတရားရှိတဲ့ မိုး၊ စာနာမှုရဲ့ မျက်ရည်တွေက ညင်သာစွာ ကျဆင်းနေပြီး၊ လူသားဆက်ဆံရေးတွေရဲ့ ဥယျာဉ်ထဲက ကြင်နာမှုရဲ့ မျိုးစေ့တွေကို ပြုစုပျိုးထောင်ပေးခြင်း, Compassionate 
