emotion_class,cleaned_text,emotion_clean
neutral,ငါ့ ရဲ့ ဘ ဝ က ဘာ ကြောင့် ဒီ လောက် အ ထိ ခက် ခဲ နေ ရ တာ လဲ လို့ တွေး မိ တယ်,Neutral
anger,အ မှား ကို တောင်း ပန် ဖို့ ဝန် လေး နေ တဲ့ မာ န ကို ကြည့် ပြီး စိတ် တို တယ်,Anger
sadness,နွေ ရာ သီ ရဲ့ ခံ စား ချက် တွေ နဲ့ ကမ်း ခြေ နေ့ ရက် တွေ ကို လွမ်း နေ ပါ တယ်,Sadness
fear,ကုန်း ပိုး အ ကောင် တွေ အ ဝတ် အ စား ထဲ ဝင် လာ မှာ ကို လန့် တယ်,Fear
anger,ငါ့ ကို လာ ပြီး အ ပိုင် တွက် မ နေ နဲ့ လို့ ပြတ် ပြတ် သား သား ပြော ချင် တယ်,Anger
love,နေ့ ရက် တိုင်း က ယူ ဆောင် လာ တဲ့ သေး ငယ် တဲ့ ပျော် ရွှင် မှု လေး တွေ အ တွက် ကျေး ဇူး တင် ခြင်း,Love
suprise,တောင် တန်း တွေ ပေါ် က ရင် သပ် ရှု မော ဖွယ် နေ ထွက် ချိန် ကို အံ့ သြ တ ကြီး ငေး မော မိ ပါ တယ်,Neutral
fear,ဘာ သာ စ ကား မ တတ် ဘဲ လမ်း ပျောက် သွား ရင် ဘယ် လို လုပ် မ လဲ,Fear
sadness,ကျောင်း နှစ် ရဲ့ စိန် ခေါ် မှု တွေ ကို ပြန် လည် သုံး သပ် နေ ပါ တယ် တာ ဝန် တွေ နဲ့ နည်း နည်း လွှမ်း မိုး ခံ စား နေ ရ တယ်,Sadness
anger,လူ တွေ ရဲ့ တစ် ကိုယ် ကောင်း ဆန် တဲ့ စိတ် ကို မြင် ရ တာ တ ကယ် စိတ် ပျက် စ ရာ,Anger
fear,ဒီ လို ပင် လယ် လိပ် ပြာ ကြီး တွေ ငါ့ ကို ဝိုင်း ပတ် လာ ရင် ကြောက် စ ရာ ပဲ,Fear
anger,အ ခြေ အ နေ ကို မ သိ ဘဲ ဝင် ပြီး ရှုပ် အောင် လုပ် နေ တာ ဒေါ သ ထွက် ဖို့ ကောင်း တယ်,Anger
neutral,ကိုယ့် အ ပေါ် အ မြဲ ကောင်း ခဲ့ တဲ့ အိမ် မွေး တိ ရစ် ဆာန် လေး သေ ဆုံး သွား တဲ့ အ ချိန်,Neutral
joy,ရုပ် ရှင် ပွဲ တော် မှာ ၊ indie ရုပ် ရှင် ရိုက် ကူး သူ ရဲ့ ဖန် တီး မှု က မတ် တပ် ရပ် လက် ခုပ် သြ ဘာ ပေး ခြင်း ကို ရ ရှိ ပြီး ၊ ဂုဏ် ယူ မှု နဲ့ ပြီး မြောက် မှု ခံ စား ချက် ကို ဖြစ် ပေါ် စေ ခြင်း,Joy
anger,သူ တစ် ပါး ကို လှည့် စား ပြီး အ ကျိုး အ မြတ် ယူ တာ ကို လုံး ဝ မုန်း တယ်,Anger
love,မင်း ရဲ့ ဘေး နား မှာ ရှိ နေ ခွင့် ရ တာ ငါ့ ဘ ဝ ရဲ့ အ ကြီး မား ဆုံး ဆု လာဘ် ပဲ,Love
neutral,ဒီ လောက် အ ထိ ကြိုး စား ထား တာ ပဲ အ ဆင် ပြေ သွား မှာ ပါ လို့ ကိုယ့် ကိုယ် ကိုယ် အား ပေး ရ တယ်,Neutral
fear,ဒီ ပ ရော ဂျက် သာ ကျ ရှုံး ရင် ငါ့ ဘ ဝ ရှေ့ ဆက် ဖို့ ခက် လိမ့် မယ်,Fear
love,မီး အိမ် ဖြစ် တဲ့ စာ နာ မှု နဲ့ အ တူ ၊ ဝမ်း နည်း မှု ရဲ့ မှောင် မိုက် တဲ့ လမ်း ကြား တွေ ထဲ မှာ လှည့် လည် သွား လာ နေ ခြင်း ၊ က ရု ဏာ တ ရား နဲ့ ဂ ရု စိုက် မှု တို့ နဲ့ လမ်း ကို လင်း ထိန် ပေး ခြင်း,Love
neutral,စိန် ခေါ် မှု ရှိ တဲ့ ရူ ပ ဗေ ဒ စာ မေး ပွဲ တစ် ခု ကို ရှင် သန် ကျော် လွှား နိုင် ခဲ့ တယ် ညီ မျှ ခြင်း တွေ ၊ မင်း ငါ့ ကို အ နိုင် ယူ လို့ မ ရ ဘူး !,Neutral
anger,ကိုယ့် ခွင့် ပြု ချက် မ ရှိ ဘဲ ကိုယ့် အ ကြောင်း တွေ လျှောက် ပြော နေ တာ စိတ် တို တယ်,Anger
fear,သ ရဲ တစ် ဆေ တွေ ရှိ တယ် ဆို တာ ကို ယုံ ကြည် ပြီး ကြောက် နေ မိ တယ်,Fear
love,မင်း ရဲ့ ဂ ရု စိုက် မှု နူး ညံ့ မှု တွေ က ငါ့ ကို စွဲ လန်း စေ တယ်,Love
suprise,စူး စမ်း လို စိတ် က တွန်း အား ပေး ပြီး ၊ မ ရောက် ဖူး သေး တဲ့ နယ် ပယ် တွေ ထဲ သို့ စွန့် စား ဝင် ရောက် ခြင်း ၊ ကမ် ဘာ လော က ရဲ့ လျှို့ ဝှက် ဆန်း ကြယ် မှု တွေ ကို မ ကြောက် မ ရွံ့ စူး စမ်း ရှာ ဖွေ သူ တစ် ယောက်,Neutral
fear,ဒီ လို င လျင် အာ ဖ တာ ရှော့ခ် တွေ ခ ဏ ခ ဏ လာ တော့ မ အိပ် ရဲ ဘူး,Fear
neutral,စွဲ မက် ဖွယ် လျှို့ ဝှက် ဆန်း ကြယ် ဝတ် ထု တစ် အုပ် ရဲ့ စာ မျက် နှာ တွေ ကြား ထဲ မှာ ၊ စာ ဖတ် သူ က သဲ လွန် စ တွေ နဲ့ လျှို့ ဝှက် ချက် တွေ ကို ဖော် ထုတ် ပြီး ၊ သည်း ထိတ် ရင် ဖို မှု နဲ့ ဖော် ထုတ် မှု ရဲ့ စိတ် လှုပ် ရှား ဖွယ် ခ ရီး စဉ် တစ် ခု ကို ခံ စား နေ ရ ခြင်း,Neutral
love,စ ကား လုံး တွေ နဲ့ ဖော် ပြ လို့ မ ရ အောင် မင်း ကို အ သည်း အ သန် ချစ် တယ်,Love
anger,သူ တစ် ပါး ကို မ တ ရား စွပ် စွဲ တာ ကို မြင် ရင် သွေး ဆူ လာ တတ် တယ်,Anger
neutral,အ မှား တစ် ခု ကို အောင် အောင် မြင် မြင် ဝန် ခံ လိုက် ရ လို့ ရင် ထဲ ပေါ့ ပါး သွား တာ,Neutral
joy,သ ဘာ ဝ တ ရား ရဲ့ ငြိမ် သက် မှု ထဲ မှာ တွေ့ ရှိ ရ တဲ့ တည် ငြိမ် အေး ချမ်း မှု ၊ ခေတ် သစ် ကမ် ဘာ ရဲ့ ရှုပ် ထွေး မှု တွေ က နေ ငြိမ်း ချမ်း တဲ့ ဆုတ် ခွာ ရာ နေ ရာ တစ် ခု,Joy
love,ကျေး ဇူး တင် မှု ရဲ့ တိမ် တိုက် တွေ ပေါ် မှာ ပျံ ဝဲ နေ ခြင်း ၊ မိုး စက် တိုင်း က ကောင်း ချီး မင်္ ဂ လာ ၊ ကျေး ဇူး သိ တတ် မှု ရဲ့ မိုး ရွာ သွန်း မှု,Love
joy,နေ့ စဉ် ဘ ဝ ရဲ့ ရှုပ် ထွေး မှု တွေ ကြား ထဲ မှာ တည် ငြိမ် မှု ကို ရှာ ဖွေ တွေ့ ရှိ ခြင်း,Joy
anger,ကျွန် တော် တို့ လူ့ အ ဖွဲ့ အ စည်း မှာ ဖြစ် ပျက် နေ တဲ့ မ တ ရား မှု တွေ ကို မ ယုံ နိုင် ဘူး,Anger
suprise,မီး ပုံး ပျံ တွေ ကောင်း ကင် ယံ မှာ တစ် ပြိုင် နက် ပျံ တက် သွား တာ ကြည့် လို့ ကောင်း လိုက် တာ ၊,Neutral
fear,ည ဘက် လမ်း မီး တိုင် အောက် မှာ ရပ် နေ တဲ့ လူ ရိပ် ကို ကြောက် တယ်,Fear
neutral,ငယ် ငယ် က အ ပြစ် ကင်း စင် တဲ့ နေ့ ရက် တွေ ကို သ တိ ရ ပြီး အ ခု ဘ ဝ ကို စိတ် ပျက် မိ တဲ့ နေ့,Neutral
suprise,အိမ် ထဲ ကို စာ ငှက် လေး ပျံ ဝင် လာ တာ ဘယ် က နေ ဝင် လာ လဲ မ သိ ဘူး ၊,Neutral
fear,နံ ရံ က နေ သွေး တွေ စီး ကျ လာ တာ ကို မြင် ပြီး လန့် အော် မိ တယ်,Fear
fear,ခွဲ စိတ် ကု သ မှု ခံ ယူ ရ မှာ ကို တွေး ပြီး မျက် ရည် ကျ မိ တယ်,Fear
neutral,ရင်း နှီး တဲ့ သူ တစ် ယောက် ရဲ့ လှည့် စား မှု ကို သိ လိုက် ရ တဲ့ ခ ဏ,Neutral
suprise,ဆုံး ဖြတ် ချက် တွေ ချ မှတ် ရာ မှာ ရှုပ် ထွေး မှု တွေ က ကျွန် တော့် စိတ် ကို လွှမ်း ခြုံ နေ တယ်,Neutral
suprise,ငါ တို့ အ ကြံ ပေး ထား တဲ့ Project ကို လူ ကြီး တွေ က ချက် ချင်း သ ဘော တူ လိုက် တယ် ၊,Neutral
suprise,ဒီ လောက် လှ ပ ပြီး ခမ်း နား တဲ့ ရှု ခင်း မျိုး တစ် ခါ မှ မ မြင် ဖူး ဘူး ၊,Neutral
fear,လေ ယာဉ် စီး ရင် လေ ဟာ နယ် ထဲ ကျ သွား မှာ ကို စိုး ရိမ် မိ တယ်,Fear
joy,မျှော် လင့် ချက် ပင် လယ် ထဲ မှာ လမ်း ညွှန် နေ ခြင်း ၊ ဖြစ် နိုင် ခြေ တွေ ရဲ့ နေ ထွက် ချိန် ဆီ သို့ ရွက် လွှင့် နေ ခြင်း ၊ အ ကောင်း မြင် မျှော် လင့် ချက် သင်္ ဘော အ ပေါ် ယုံ ကြည် မှု ရှိ ခြင်း,Joy
neutral,ကြယ် တွေ စုံ တဲ့ ည ကောင်း ကင် အောက် မှာ ဘ ဝ ရဲ့ လျှို့ ဝှက် ဆန်း ကြယ် မှု တွေ ကို စဉ်း စား တွေး တော နေ ပါ တယ်,Neutral
joy,ဥ ယျာဉ် ထဲ မှာ လမ်း လျှောက် ထွက် ရင်း ၊ ပွင့် လန်း နေ တဲ့ ပန်း တွေ ရဲ့ အ လှ ကို တန် ဖိုး ထား လေး စား နေ ပါ တယ် သ ဘာ ဝ တ ရား ရဲ့ အံ့ ဖွယ် ရာ တွေ က ဘယ် တော့ မှ မ ရပ် တန့် ဘူး # ဥ ယျာဉ် လမ်း လျှောက် ခြင်း # ပန်း အ လှ,Joy
fear,မီး လောင် ပြင် ထဲ ပိတ် မိ နေ သ လို ခံ စား ချက် မျိုး က အ ရမ်း ဆိုး တယ်,Fear
sadness,နောင် တ ရဲ့ ဆူး တွေ ကို ရှောင် ရှား ရင်း ၊ နောင် တ ရဲ့ လမ်း ပေါ် မှာ ခြေ ဗ လာ နဲ့ လျှောက် လှမ်း နေ ခြင်း,Sadness
neutral,စိတ် ကူး ယဉ် ခဲ့ သ မျှ အ ရာ ရာ တိုင်း က တံ လျှပ် တစ် ခု လို ပျောက် ကွယ် သွား တဲ့ နေ့,Neutral
love,မင်း ရဲ့ အ ပြုံး လေး တွေ က ငါ့ ဘ ဝ ရဲ့ အ မှောင် ထု ကို မောင်း ထုတ် ပေး တယ်,Love
love,မင်း မျက် နှာ လေး ညိုး နွမ်း နေ ရင် ငါ့ နှ လုံး သား လည်း နာ ကျင် ရ တယ်,Love
joy,ရယ် မော ခြင်း ရဲ့ သံ စုံ တီး ဝိုင်း ၊ တေး သွား တိုင်း က အ ဆုံး မဲ့ ပျော် ရွှင် မှု ရဲ့ တံ ခါး ကို ဖွင့် လှစ် ဖို့ သော့ ချက်,Joy
joy,အ ခြား နိုင် ငံ က စာ ရေး သူ ငယ် ချင်း တစ် ယောက် ဆီ က ရင် ထဲ က စာ တစ် စောင် လက် ခံ ရ ရှိ ခြင်း ကမ် ဘာ တစ် ဝှမ်း ချိတ် ဆက် နေ ခြင်း !,Joy
joy,တစ် ကိုယ် တော် ခ ရီး သွား စွန့် စား ခန်း တစ် ခု ကို စ တင် လိုက် တယ် ၊ ကိုယ့် အ ရှိန် နဲ့ ကိုယ် နေ ရာ အ သစ် တွေ ရဲ့ အ လှ ကို ရှာ ဖွေ တွေ့ ရှိ ခြင်း # တစ် ကိုယ် တော် ခ ရီး သွား # အ ကြီး တန်း စူး စမ်း ရှာ ဖွေ သူ,Joy
joy,အိမ် ချက် ဟင်း ရဲ့ အ ရ သာ တွေ ကို အ ရ သာ ခံ နေ ပါ တယ် ရိုး ရှင်း တဲ့ ပျော် ရွှင် မှု တွေ က ပျော် ရွှင် မှု ရဲ့ နှ လုံး သား # အိမ် ချက် ဟင်း # ရိုး ရှင်း တဲ့ ပျော် ရွှင် မှု များ,Joy
fear,မြူ ဆိုင်း နေ တဲ့ လမ်း မှာ ရှေ့ က ဘာ ရှိ မှန်း မ မြင် ရ လို့ လန့် တယ်,Fear
neutral,အ ကြိုက် ဆုံး သီ ချင်း ဟောင်း လေး တစ် ခု ကို မ မျှော် လင့် ဘဲ ပြန် ကြား လိုက် ရ တဲ့ အ ခါ,Neutral
anger,ငါ့ ကို လာ ပြီး သွေး တိုး စမ်း နေ တာ လား လို့ မေး ပစ် ချင် တယ်,Anger
fear,ဒီ စာ မေး ပွဲ ကြီး ကို ကျ ရှုံး ရင် ငါ့ ဘ ဝ လမ်း ဆုံး ပြီ လို့ ထင် တယ်,Fear
love,မင်း ရဲ့ စ ကား သံ လေး တွေ က ငါ့ နား ထဲ မှာ သီ ချင်း တစ် ပုဒ် လို ပဲ,Love
suprise,ည ကောင်း ကင် ရဲ့ အ လှ တ ရား ကို အံ့ သြ တ ကြီး ငေး မော မိ ပါ တယ်,Neutral
joy,အ ထူး ကြေ ညာ ချက် တစ် ခု ကို စောင့် မျှော် နေ ချိန် မှာ စိတ် လှုပ် ရှား မှု တွေ ဖြစ် ပေါ် လာ ခြင်း,Joy
love,မင်း ရဲ့ ရင် ခွင် ကျယ် ကြီး ထဲ မှာ ပဲ ငါ့ ရဲ့ ဘ ဝ ကို မြှုပ် နှံ ချင် တယ်,Love
joy,ပင် လယ် ကမ်း စပ် က နေ ဝင် ချိန် အ လှ ထဲ မှာ တွေ့ ရှိ ရ တဲ့ တည် ငြိမ် အေး ချမ်း မှု,Joy
joy,မျှော် လင့် ချက် ရှိ တဲ့ မျှော် လင့် ချက် ရဲ့ လှိုင်း လုံး တွေ ကြား ထဲ က နေ လမ်း ကြောင်း တစ် ခု ရေး ဆွဲ နေ ခြင်း ၊ မ စူး စမ်း ရ သေး တဲ့ အိပ် မက် တွေ ရဲ့ ကမ်း ခြေ တွေ ဆီ သို့ ဦး တည် မောင်း နှင် နေ တဲ့ သင်္ ဘော သား တစ် ယောက်,Joy
joy,Workshop တစ် ခု တက် ရောက် ပြီး နောက် စိတ် အား တက် ကြွ မှု ခံ စား ရ ပါ တယ်,Joy
neutral,ဂီ တ ပ ညာ ရှင် တွေ က စည်း လုံး ညီ ညွတ် မှု နဲ့ အ တူ တ ကွ ရှိ မှု ရဲ့ သံ စဉ် တစ် ခု ကို တီး ခတ် ချိန် မှာ သ ဟ ဇာ တ ဖြစ် မှု က ပဲ့ တင် ထပ် နေ ပါ တယ်,Neutral
suprise,ဈေး ဝယ် ပြီး ပြန် အ ထွက် မှာ ဆိုင် ရှင် က အ ပို လက် ဆောင် ပေး လိုက် တယ် ၊,Neutral
neutral,ရေ နစ် လု နီး ပါး ဖြစ် သွား ရာ က နေ ကံ ကောင်း ထောက် မ စွာ လွတ် မြောက် လာ တဲ့ အ ခါ,Neutral
love,မင်း က ငါ့ ဘ ဝ ရဲ့ တစ် သက် စာ အ ကောင်း ဆုံး ရွေး ချယ် မှု ပဲ,Love
love,မင်း ကို စက် ကန့် တိုင်း သ တိ ရ နေ မိ တာ ငါ့ ရဲ့ အ ကျင့် တစ် ခု ဖြစ် နေ ပြီ,Love
neutral,Adele ရဲ့ စိတ် ခံ စား မှု ပါ တဲ့ သံ စဉ် တွေ ထဲ မှာ နစ် မြုပ် နေ ခြင်း ၊ 'Hello' ရဲ့ စိတ် ခံ စား မှု ကြောင့် လှုပ် ရှား ပြီး မျက် ရည် တွေ လွတ် လပ် စွာ စီး ကျ နေ ခြင်း,Neutral
anger,ကိုယ့် ပစ် စည်း ကို ခွင့် ပြု ချက် မ ရှိ ဘဲ ယူ သုံး တာ ကို တ ကယ် ကို စိတ် တို တယ်,Anger
joy,စိတ် ကူး စိတ် သန်း ရဲ့ တိမ် တိုက် တွေ ပေါ် မှာ ပျံ ဝဲ နေ ခြင်း ၊ ကောင်း ကင် ကို ဖန် တီး မှု ရဲ့ စုတ် ချက် တွေ နဲ့ ခြယ် မှုန်း နေ ပြီး ၊ အိပ် မက် တွေ ရဲ့ လက် ရာ မြောက် ပန်း ချီ ကား တစ် ချပ် ကို ဖန် တီး နေ တဲ့ အ နု ပ ညာ ရှင် တစ် ယောက်,Joy
suprise,ကော် လို ဆီ ယမ် ရဲ့ သ မိုင်း ဝင် ဆွဲ ဆောင် မှု ကြောင့် စွဲ လန်း မိ ခြင်း ၊ ကျောက် တုံး တိုင်း က ဓား ရေး သ မား ရဲ စွမ်း သတ် တိ ရဲ့ ပုံ ပြင် တွေ ကို ပဲ့ တင် ထပ် နေ ခြင်း,Neutral
joy,တာ ဝန် တွေ ကို ပျော် ရွှင် စွာ ဟန် ချက် ညီ အောင် လုပ် ဆောင် နေ ခြင်း ၊ အ လုပ် နဲ့ ပျော် ရွှင် မှု ရဲ့ လုပ် ဆောင် ချက် တွေ ကို ဟန် ချက် ညီ အောင် ထိန်း ညှိ နေ ပြီး ၊ ရယ် မော ခြင်း ကို လေ ထဲ သို့ ပစ် မြှောက် နေ တဲ့ ဆပ် ကပ် သ မား တစ် ယောက်,Joy
neutral,အိပ် မက် တွေ က ကိုယ့် လက် လှမ်း မ မီ တဲ့ နေ ရာ မှာ ရှိ နေ မှန်း သိ လိုက် ရ တဲ့ ဝမ်း နည်း စ ရာ နေ့,Neutral
fear,ကျောင်း မှာ အ နိုင် ကျင့် (Bully) ခံ ရ မှာ ကို က လေး က ကြောက် နေ ရှာ တယ်,Fear
sadness,စိတ် ခံ စား မှု ထုံ ကျင် မှု အ ခြေ အ နေ ထဲ မှာ နစ် မြုပ် နေ ခြင်း ၊ နေ့ စဉ် ရုန်း ကန် မှု တွေ ရဲ့ မုန် တိုင်း ကို ကာ ကွယ် ပေး တဲ့ ဒိုင်း တစ် ခု,Sadness
sadness,မျက် ရည် တွေ ၊ ဒိုင် ယာ ရီ ရဲ့ စာ မျက် နှာ တွေ ကို စွန်း ထင်း စေ တဲ့ မှင် ၊ တိတ် ဆိတ် စွာ ဝမ်း နည်း ပူ ဆွေး မှု ရဲ့ သက် သေ,Sadness
,ကိုယ့် ရဲ့ ယုံ ကြည် မှု ကို အ သုံး ချ ပြီး သစ် စာ ဖောက် တာ ကို စိတ် နာ တယ်,Neutral
joy,လွတ် လပ် တဲ့ စိတ် ဓာတ် ရဲ့ တောင် ပံ တွေ ပေါ် မှာ ပျံ သန်း နေ ခြင်း ၊ လိုက် လျော ညီ ထွေ မှု ရဲ့ သံ ကြိုး တွေ က နေ လွတ် မြောက် ပြီး ၊ ကောင်း ကင် ကို လွတ် လပ် မှု နဲ့ ခြယ် မှုန်း နေ ခြင်း,Joy
love,နွေး ထွေး တဲ့ ဆောင်း ရာ သီ ည နေ ခင်း ရဲ့ နွေး ထွေး မှု ထဲ က နူး ညံ့ ကြင် နာ မှု,Love
anger,အ မြဲ တမ်း ကိုယ် ပဲ ခေါင်း ငုံ့ ခံ နေ ရ တာ ကို တ ကယ် စိတ် ကုန် ပြီး ဒေါ သ ထွက် တယ်,Anger
joy,သ ဘာ ဝ တ ရား ရဲ့ အ လှ ကို ပွေ့ ဖက် ရင်း ၊ ကျေ နပ် မှု ရ ရှိ တဲ့ အ ခိုက် အ တန့်,Joy
anger,ဒီ လောက် ထိ စိတ် ညစ် အောင် လုပ် ရ မ လား ဆို ပြီး ရင် ထဲ မှာ ပေါက် ကွဲ တယ်,Anger
sadness,အိပ် မက် ကော လိပ် တစ် ခု က နေ ငြင်း ပယ် ခံ ရ ခြင်း စိတ် ပျက် မိ ပေ မယ့် အ ခြား လမ်း ကြောင်း တွေ ကို စူး စမ်း ရှာ ဖွေ ဖို့ စိတ် ပိုင်း ဖြတ် ထား တယ်,Sadness
suprise,ဒီ နေ့ ဈေး ထဲ မှာ ပစ် စည်း တွေ အ ကုန် လုံး အ ရမ်း တန် နေ ပါ လား ၊,Neutral
fear,အ တန်း ဖော် တွေ ကို စွဲ ဆောင် ဖို့ မှော် ပ ညာ တစ် ခု စမ်း သပ် ခဲ့ တယ် မှော် ပ ညာ ကျ ရှုံး မှု - အဲ့ ဒီ ယုန် ဘယ် ရောက် သွား လဲ,Fear
anger,ဆံ ပင် ပုံ စံ ဆိုး တဲ့ နေ့ ကြုံ ပြီး ကိုယ့် ကိုယ် ကို သ တိ ထား မိ နေ ခြင်း ဆံ ပင် ပုံ စံ ဆိုး တဲ့ နေ့ တွေ က ယုံ ကြည် မှု ကို ထိ ခိုက် စေ နိုင် တယ်,Anger
suprise,အား လုံး က ဝိုင်း ပြီး ဂုဏ် ပြု ပေး ကြ တဲ့ အ ချိန် မှာ အံ့ ဩ လွန်း လို့ ဘာ ပြော ရ မှန်း တောင် မ သိ တော့ ဘူး,Neutral
anger,အ ခြေ အ နေ ကို မ သိ ဘဲ လာ ပြီး ဝေ ဖန် နေ တာ တ ကယ် မျက် စိ စ ပါး မွှေး စူး တယ်,Anger
suprise,လမ်း ဘေး က ကြောင် ပေါက် လေး က ငါ့ နောက် ကို တ ကောက် ကောက် လိုက် လာ ပါ လား ၊,Neutral
fear,ပြန် ပေး ဆွဲ ခံ ရ ရင် ဘယ် သူ မှ လာ မ ကယ် နိုင် မှာ ကို ပူ ပန် တယ်,Fear
love,မင်း ကို တွေ့ ရ ဖို့ နေ့ တိုင်း ကောင်း ကင် ကြီး ဆီ ဆု တောင်း ခဲ့ ရ တာ,Love
neutral,လတ် လတ် ဆတ် ဆတ် ဖျော် ထား တဲ့ ကော် ဖီ ရဲ့ ရ နံ့ ထဲ မှာ နစ် မြုပ် နေ ခြင်း ၊ စာ ရေး ဆ ရာ က သောက် လိုက် တိုင်း မှာ စိတ် ကူး စိတ် သန်း ကို ရှာ ဖွေ တွေ့ ရှိ ပြီး ၊ ဖန် တီး မှု နဲ့ စ ကား ပြေ ရဲ့ ခ ရီး စဉ် တစ် ခု ကို စ တင် ခြင်း,Neutral
suprise,ဆွစ် ဇာ လန် အယ်လ်ပ် တောင် တန်း ရဲ့ တောင် စောင်း တွေ ပေါ် မှာ နှင်း လျှော စီး နေ ခြင်း ၊ အ လှည့် တိုင်း က နှင်း ဖုံး တောင် ထိပ် တွေ ရဲ့ ခမ်း နား ထည် ဝါ မှု နဲ့ အ က တစ် ခု,Neutral
sadness,စိတ် ပျက် အား ငယ် မှု ရဲ့ ကော် ဇော ထဲ မှာ ၊ မျှော် လင့် ချက် ရဲ့ ချည် မျှင် တွေ က ပြေ လျော့ သွား ပြီး ၊ ဝမ်း နည်း မှု ရဲ့ ပုံ တူ ကို ချန် ထား ခဲ့ ခြင်း,Sadness
anger,ဘာ ကိစ် စ နဲ့ မှ အ ဆင် မ ပြေ ဘဲ အ လို မ ကျ ဖြစ် နေ ရ တယ်,Anger
anger,ကိုယ့် ရဲ့ အား ထုတ် မှု ကို ဖျက် ဆီး ပစ် တဲ့ သူ ကို ဘယ် တော့ မှ ခွင့် မ လွှတ် ဘူး,Anger
suprise,တင်း နစ် ဂ ရင်း စ လမ် မှာ ၊ ပြင်း ထန် တဲ့ ပြိုင် ဆိုင် မှု တစ် ခု ဖြစ် ပေါ် လာ ပြီး ၊ ကမ် ဘာ့ စင် မြင့် ပေါ် က ကျွမ်း ကျင် မှု နဲ့ အား က စား စိတ် ဓာတ် ပြ သ မှု နဲ့ ပ ရိ သတ် တွေ ကို စွဲ ဆောင် နေ ခြင်း,Neutral
fear,အိပ် မက် ဆိုး တွေ ခ ဏ ခ ဏ မက် ပြီး လန့် လန့် နိုး လာ တာ စိတ် ညစ် ဖို့ ကောင်း တယ်,Fear
anger,ကိုယ့် ကို လာ ပြီး ကဲ့ ရဲ့ တာ ကို ဘယ် လို မှ သည်း ခံ မှာ မ ဟုတ် ဘူး,Anger
joy,ပ ထ မ ဆုံး နှင်း ပွင့် လေး တွေ ကောင်း ကင် က နေ က ခုန် ကျ လာ ချိန် မှာ စိတ် လှုပ် ရှား မှု ကြောင့် မူး ဝေ နောက် ကျိ နေ ပါ တယ်,Joy
love,မင်း ရဲ့ မျက် လုံး ဝိုင်း ဝိုင်း လေး တွေ ကို ကြည့် ပြီး အ မြဲ ငေး မော ချင် တယ်,Love
joy,စီး ရီး အ သစ် တစ် ခု ကို တစ် နေ့ လုံး ဆက် တိုက် ကြည့် ရှု ခဲ့ တယ် ကုန် ထုတ် စွမ်း အား အ ဆင့် - သု ည # ပျင်း ရိ တဲ့ နေ့ # တီ ဗီ စီး ရီး မာ ရ သွန်,Joy
suprise,ငါ အ မြဲ လို ချင် နေ တဲ့ ဖိ နပ် ကို အစ် ကို က လက် ဆောင် ဝယ် ပေး ထား တာ ပဲ ၊,Neutral
neutral,ကိုယ် သ ဘော ကျ ရ တဲ့ သူ က ကိုယ့် ကို ပြန် ပြီး စိုက် ကြည့် လာ တဲ့ အ ခါ,Neutral
suprise,အ တွေး တွေ ရဲ့ ပင့် ကူ အိမ် ထဲ မှာ ရစ် ပတ် နေ ခြင်း ၊ အ တွေး အ ခေါ် တွေ ရဲ့ ဝင်္ က ပါ ထဲ မှာ လမ်း ညွှန် ရာ မှာ ရှုပ် ထွေး မှု က လွှမ်း မိုး နေ ခြင်း,Neutral
anger,စ ကား ပြော ရင် ရိုး ရိုး မ ပြော ဘဲ ရွဲ့ စောင်း ပြော နေ တာ ကို စိတ် မ ရှည် ဘူး,Anger
fear,ဒီ ရော ဂါ ဆိုး ကြီး ငါ့ ဆီ ကူး စက် လာ မ လား ဆို ပြီး တွေး ပူ နေ ရ တယ်,Fear
joy,ရိုး ရာ မိ သား စု ဟင်း ချက် နည်း တွေ ကို ချက် ပြုတ် ခြင်း ရဲ့ ပျော် ရွှင် မှု ကို ပြန် လည် ရှာ ဖွေ တွေ့ ရှိ ခဲ့ တယ် မီး ဖို ချောင် ၊ တန် ဖိုး ထား ရ တဲ့ အ မှတ် တ ရ တွေ ရဲ့ နေ ရာ # မိ သား စု ဟင်း ချက် နည်း များ # အ ကြီး တန်း ချက် ပြုတ် ခြင်း,Joy
anger,အ မြဲ တမ်း ဆင် ခြေ တွေ ပဲ ပေး နေ တဲ့ သူ တွေ ကို စိတ် မ ရှည် နိုင် တော့ ဘူး,Anger
neutral,အ ကြောင်း ပြ ချက် မ ရှိ ဘဲ ရင် ထဲ မှာ ဟာ လာ ဟင်း လင်း ဖြစ် ပြီး ဝမ်း နည်း နေ မိ တာ,Neutral
neutral,သူ ငယ် ချင်း တွေ နဲ့ ဆုံ ပြီး အား ရ ပါး ရ လျှောက် အော် ရယ် ရ တာ စိတ် ပေါ့ ပါး သွား တာ ပဲ,Neutral
sadness,တစ် နေ့ တာ လုံး အ ဆင် ပြေ ပါ တယ် လို့ လိမ် ညာ ပြီး ည ဘက် ရောက် မှ ခေါင်း အုံး စို ရ တဲ့ ည များ,Sadness
